10,Udupi,2,10:34 PM,02:47 AM,4 Hrs 13 Mins,10:36 PM,02:48 AM,4 Hrs 12 Mins, 485 Kms,10216
11,Bhatkal,2,11:50 PM,04:11 AM,4 Hrs 21 Mins,11:52 PM,04:17 AM,4 Hrs 25 Mins, 565 Kms,10216
12,Karwar,2,01:26 AM,06:55 AM,5 Hrs 29 Mins,01:28 AM,06:56 AM,5 Hrs 28 Mins, 674 Kms,10216
13,Balli,2,02:25 AM,07:52 AM,5 Hrs 27 Mins,03:02 AM,07:52 AM,5 Hrs 27 Mins, 716 Kms,10216
1,Kota Jn,1,Source,Source,No Delay,09:10 PM,09:10 PM,No Delay, 0 Kms,1,09809
2,Indargarh,1,09:59 PM,10:31 PM,32 Mins,10:00 PM,10:32 PM,32 Mins, 71 Kms,09809
3,Sawai Madhopur,1,10:26 PM,11:08 PM,42 Mins,10:28 PM,11:10 PM,42 Mins, 107 Kms,09809
4,Gangapur City,1,11:14 PM,11:56 PM,42 Mins,11:15 PM,11:58 PM,43 Mins, 171 Kms,09809
5,Shri Mahabirji,2,11:39 PM,12:40 AM,1 Hr 1 Min,11:40 PM,12:42 AM,1 Hr 2 Mins, 205 Kms,09809
6,Hindaun City,2,11:50 PM,12:57 AM,1 Hr 7 Mins,11:51 PM,12:59 AM,1 Hr 8 Mins, 215 Kms,09809
7,Bayana Jn,2,12:20 AM,01:42 AM,1 Hr 22 Mins,12:21 AM,01:44 AM,1 Hr 23 Mins, 248 Kms,09809
8,Bharatpur Jn,2,12:49 AM,02:28 AM,1 Hr 39 Mins,12:50 AM,02:30 AM,1 Hr 40 Mins, 290 Kms,09809
9,Mathura Jn,2,01:44 AM,03:23 AM,1 Hr 39 Mins,01:46 AM,03:27 AM,1 Hr 41 Mins, 324 Kms,4,09809
10,Faridabad,2,03:36 AM,06:54 AM,3 Hrs 18 Mins,03:38 AM,06:56 AM,3 Hrs 18 Mins, 436 Kms,09809
1,H Nizamuddin,1,Source,Source,No Delay,05:15 AM,06:45 AM,1 Hr 30 Mins, 0 Kms,5,09810
2,Faridabad,1,05:36 AM,07:47 AM,2 Hrs 11 Mins,05:38 AM,07:48 AM,2 Hrs 10 Mins, 20 Kms,09810
3,Mathura Jn,1,08:05 AM,11:21 AM,3 Hrs 16 Mins,08:07 AM,11:23 AM,3 Hrs 16 Mins, 133 Kms,4,09810
4,Bharatpur Jn,1,08:35 AM,12:00 PM,3 Hrs 25 Mins,08:37 AM,12:01 PM,3 Hrs 24 Mins, 166 Kms,09810
