27,Tatanagar Jn,1,12:45 PM,12:45 PM,No Delay,12:50 PM,12:50 PM,No Delay, 2084 Kms,02833
28,Kharagpur Jn,1,02:35 PM,02:35 PM,No Delay,02:40 PM,02:40 PM,No Delay, 2219 Kms,02833
1,Santragachi Jn,1,Source,Source,No Delay,12:40 PM,12:50 PM,10 Mins, 0 Kms,02841
2,Kharagpur Jn,1,02:25 PM,02:33 PM,8 Mins,02:30 PM,02:35 PM,5 Mins, 110 Kms,02841
3,Bhadrak,1,05:28 PM,05:05 PM,23M Before,05:30 PM,05:31 PM,1 Min, 290 Kms,02841
4,Cuttack,1,06:45 PM,07:35 PM,50 Mins,06:47 PM,07:40 PM,53 Mins, 404 Kms,02841
5,Bhubaneswar,1,07:20 PM,08:32 PM,1 Hr 12 Mins,07:25 PM,08:38 PM,1 Hr 13 Mins, 431 Kms,02841
6,Khurda Road Jn,1,07:50 PM,09:02 PM,1 Hr 12 Mins,08:00 PM,09:18 PM,1 Hr 18 Mins, 450 Kms,02841
7,Visakhapatnam,2,02:05 AM,04:17 AM,2 Hrs 12 Mins,02:35 AM,04:17 AM,1 Hr 42 Mins, 874 Kms,02841
8,Duvvada,2,03:03 AM,04:39 AM,1 Hr 36 Mins,03:05 AM,04:39 AM,1 Hr 34 Mins, 891 Kms,02841
9,Rajahmundry,2,05:22 AM,06:38 AM,1 Hr 16 Mins,05:24 AM,06:45 AM,1 Hr 21 Mins, 1075 Kms,02841
10,Vijayawada Jn,2,07:50 AM,09:25 AM,1 Hr 35 Mins,08:00 AM,09:50 AM,1 Hr 50 Mins, 1224 Kms,02841
11,Nellore,2,11:00 AM,02:26 PM,3 Hrs 26 Mins,11:02 AM,02:27 PM,3 Hrs 25 Mins, 1479 Kms,02841
1,Asansol Jn,1,Source,Source,No Delay,10:10 AM,10:10 AM,No Delay, 0 Kms,03301
2,Barachak,1,10:16 AM,10:19 AM,3 Mins,10:17 AM,10:20 AM,3 Mins, 5 Kms,03301
3,Sitarampur,1,10:22 AM,10:25 AM,3 Mins,10:23 AM,10:26 AM,3 Mins, 8 Kms,03301
4,Kulti,1,10:28 AM,10:30 AM,2 Mins,10:29 AM,10:31 AM,2 Mins, 14 Kms,03301
5,Barakar,1,10:33 AM,10:34 AM,1 Min,10:34 AM,10:35 AM,1 Min, 17 Kms,03301
