19,Pollachi Jn,2,09:05 AM,08:48 AM,17M Before,09:10 AM,09:10 AM,No Delay, 425 Kms,16343,2018-01-03
20,Palani,2,10:28 AM,10:18 AM,10M Before,10:30 AM,10:35 AM,5 Mins, 488 Kms,16343,2018-01-03
21,Dindigul Jn,2,11:43 AM,11:45 AM,2 Mins,11:45 AM,11:47 AM,2 Mins, 546 Kms,16343,2018-01-03
1,Trivandrum Cntl,1,Source,Source,No Delay,10:30 PM,10:30 PM,No Delay, 0 Kms,16343,2018-01-04
2,Varkalasivagiri,1,11:04 PM,11:23 PM,19 Mins,11:05 PM,11:24 PM,19 Mins, 41 Kms,16343,2018-01-04
3,Kollam Jn,1,11:30 PM,11:55 PM,25 Mins,11:35 PM,11:59 PM,24 Mins, 64 Kms,16343,2018-01-04
4,Karunagapalli,2,11:58 PM,12:29 AM,31 Mins,11:59 PM,12:30 AM,31 Mins, 91 Kms,16343,2018-01-04
5,Kayankulam Jn,2,12:19 AM,12:51 AM,32 Mins,12:20 AM,12:52 AM,32 Mins, 105 Kms,16343,2018-01-04
6,Mavelikara,2,12:30 AM,01:02 AM,32 Mins,12:31 AM,01:03 AM,32 Mins, 113 Kms,16343,2018-01-04
7,Chengannur,2,12:41 AM,01:16 AM,35 Mins,12:43 AM,01:19 AM,36 Mins, 125 Kms,16343,2018-01-04
8,Tiruvalla,2,12:53 AM,01:31 AM,38 Mins,12:54 AM,01:33 AM,39 Mins, 134 Kms,16343,2018-01-04
9,Changanaseri,2,01:04 AM,01:42 AM,38 Mins,01:05 AM,01:43 AM,38 Mins, 142 Kms,16343,2018-01-04
10,Kottayam,2,01:25 AM,02:03 AM,38 Mins,01:28 AM,02:07 AM,39 Mins, 160 Kms,16343,2018-01-04
11,Ernakulam Town,2,02:55 AM,03:28 AM,33 Mins,03:00 AM,03:33 AM,33 Mins, 223 Kms,16343,2018-01-04
12,Idaplli,2,03:11 AM,03:45 AM,34 Mins,03:12 AM,03:46 AM,34 Mins, 229 Kms,16343,2018-01-04
13,Aluva,2,03:28 AM,04:00 AM,32 Mins,03:30 AM,04:02 AM,32 Mins, 240 Kms,16343,2018-01-04
14,Thrisur,2,04:17 AM,04:46 AM,29 Mins,04:20 AM,04:48 AM,28 Mins, 294 Kms,16343,2018-01-04
15,Shoranur Jn,2,05:30 AM,05:28 AM,2M Before,05:40 AM,06:27 AM,47 Mins, 327 Kms,16343,2018-01-04
16,Ottappalam,2,05:58 AM,06:44 AM,46 Mins,06:00 AM,06:46 AM,46 Mins, 336 Kms,16343,2018-01-04
17,Palakkad Jn,2,07:15 AM,07:15 AM,No Delay,07:30 AM,08:05 AM,35 Mins, 367 Kms,16343,2018-01-04
18,Palghat Town,2,07:45 AM,08:20 AM,35 Mins,07:50 AM,08:22 AM,32 Mins, 371 Kms,16343,2018-01-04
19,Pollachi Jn,2,09:05 AM,09:20 AM,15 Mins,09:10 AM,09:25 AM,15 Mins, 425 Kms,16343,2018-01-04
20,Palani,2,10:28 AM,10:29 AM,1 Min,10:30 AM,10:42 AM,12 Mins, 488 Kms,16343,2018-01-04
21,Dindigul Jn,2,11:43 AM,11:45 AM,2 Mins,11:45 AM,11:50 AM,5 Mins, 546 Kms,16343,2018-01-04
1,Trivandrum Cntl,1,Source,Source,No Delay,10:30 PM,10:30 PM,No Delay, 0 Kms,16343,2018-01-05
2,Varkalasivagiri,1,11:04 PM,11:17 PM,13 Mins,11:05 PM,11:19 PM,14 Mins, 41 Kms,16343,2018-01-05
3,Kollam Jn,1,11:30 PM,11:52 PM,22 Mins,11:35 PM,11:57 PM,22 Mins, 64 Kms,16343,2018-01-05
4,Karunagapalli,2,11:58 PM,12:28 AM,30 Mins,11:59 PM,12:29 AM,30 Mins, 91 Kms,16343,2018-01-05
5,Kayankulam Jn,2,12:19 AM,01:12 AM,53 Mins,12:20 AM,01:14 AM,54 Mins, 105 Kms,16343,2018-01-05
6,Mavelikara,2,12:30 AM,01:26 AM,56 Mins,12:31 AM,01:28 AM,57 Mins, 113 Kms,16343,2018-01-05
7,Chengannur,2,12:41 AM,01:42 AM,1 Hr 1 Min,12:43 AM,01:45 AM,1 Hr 2 Mins, 125 Kms,16343,2018-01-05
